Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans
                                                                  Title                                         Author       Pub-Date   Price
Hardcover Nonfiction                                                                                                                         
47                 The Heaven & Earth Grocery Store (2023 B&N Boo...                               by James McBride   (08/08/2023)  $22.50
48                                            The Three-Body Problem                                   by Cixin Liu   (11/11/2014)  $24.02
49                                       Listen for the Lie: A Novel                                 by Amy Tintera   (03/05/2024)  $24.29
50                                               The Hunter: A Novel                                 by Tana French   (03/05/2024)  $22.50
51                                       Remarkably Bright Creatures                             by Shelby Van Pelt   (05/03/2022)  $25.19
52                                              None of This Is True                                 by Lisa Jewell   (08/08/2023)  $22.09
53                                              I'm Glad My Mom Died                            by Jennette McCurdy   (08/09/2022)  $17.99
54                         Outlive: The Science and Art of Longevity                by Peter Attia MD, Bill Gifford   (03/28/2023)  $22.50
55                       Bad Therapy: Why the Kids Aren't Growing Up                              by Abigail Shrier   (02/27/2024)  $20.00
56                                      Burn Book: A Tech Love Story                                by Kara Swisher   (02/27/2024)  $23.99
57                            The House of Hidden Meanings: A Memoir                                      by RuPaul   (03/05/2024)  $21.99
58                 The Body Keeps the Score: Brain, Mind, and Bod...                    by Bessel van der Kolk M.D.   (02/16/2021)  $23.00
59                                                       Greenlights                         by Matthew McConaughey   (10/20/2020)  $19.00
60                 The Anxious Generation: How the Great Rewiring...                              by Jonathan Haidt   (03/26/2024)  $20.25
61                             Sapiens: A Brief History of Humankind                           by Yuval Noah Harari   (08/15/2017)  $31.99
62                                                         Elon Musk                             by Walter Isaacson   (09/12/2023)  $31.49
63                                                   The Woman in Me                              by Britney Spears   (10/24/2023)  $22.49
64                 Extreme Ownership: How U.S. Navy SEALs Lead an...                   by Jocko Willink, Leif Babin   (10/20/2015)  $18.39
65                                                       Greenlights                         by Matthew McConaughey   (10/20/2020)  $19.00
66                                                             Spare            by Prince Harry, The Duke of Sussex   (01/10/2023)  $29.88
67                 Blood Money: Why the Powerful Turn a Blind Eye...                             by Peter Schweizer   (02/27/2024)  $22.49Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans
                                                            Title                                         Author       Pub-Date   Price
Advice, How-To                                                                                                                         
0               Democracy or Else: How to Save America in 10 E...       by Jon Favreau, Jon Lovett, Tommy Vietor   (06/25/2024)  $25.20
1               Atomic Habits: An Easy & Proven Way to Build G...                                 by James Clear   (10/16/2018)  $22.99
2                               World Travel: An Irreverent Guide           by Anthony Bourdain, Laurie Woolever   (05/28/2024)  $22.00
3               The New Menopause: Navigating Your Path Throug...                        by Mary Claire Haver MD   (04/30/2024)  $25.20
4               Good Energy: The Surprising Connection Between...       by Casey Means MD, Calley Means (Editor)   (05/14/2024)  $28.80
5                                The Creative Act: A Way of Being                                  by Rick Rubin   (01/17/2023)  $32.00
6               Practicing the Way: Be with Jesus. Become like...                             by John Mark Comer   (01/16/2024)  $23.40
7               Make Your Bed: Little Things That Can Change Y...                          by William H. McRaven   (04/04/2017)  $15.99
8                            The Official Stardew Valley Cookbook                    by ConcernedApe, Ryan Novak   (05/14/2024)  $25.20
9               Lies I Taught in Medical School: How Conventio...  by Robert Lufkin MD, Jason Fung (Foreword by)   (06/04/2024)  $29.95
10                                      The Housemaid Is Watching                             by Freida McFadden   (06/11/2024)  $16.19
11                                                  The Housemaid                             by Freida McFadden   (08/23/2022)  $12.99
12              A Court of Thorns and Roses (A Court of Thorns...                               by Sarah J. Maas   (06/02/2020)  $15.99
13                                             A Novel Love Story                               by Ashley Poston   (06/25/2024)  $19.00
14                                         The Housemaid's Secret                             by Freida McFadden   (07/11/2023)  $12.99
15                                                    Not in Love                               by Ali Hazelwood   (06/11/2024)  $17.10
16                                            Just for the Summer                                by Abby Jimenez   (04/02/2024)  $17.99
17              A Court of Mist and Fury (A Court of Thorns an...                               by Sarah J. Maas   (06/02/2020)  $16.99
18                                                It Ends with Us                              by Colleen Hoover   (08/02/2016)  $12.99
19                                                    Happy Place                                 by Emily Henry   (03/05/2024)  $17.10
